x	f_szereg(x)	f_œciœle(x)	liczba_wyrazów	warunek_stopu
880,0000	238313,17497438	inf	1000	limit M
890,0000	243750,04377222	inf	1000	limit M
900,0000	249248,23312145	inf	1000	limit M
910,0000	254807,74302207	inf	1000	limit M
920,0000	260428,57347407	inf	1000	limit M
930,0000	266110,72447746	inf	1000	limit M
940,0000	271854,19603224	inf	1000	limit M
950,0000	277658,98813841	inf	1000	limit M
960,0000	283525,10079596	inf	1000	limit M
970,0000	289452,53400491	inf	1000	limit M
980,0000	295441,28776524	inf	1000	limit M
990,0000	301491,36207696	inf	1000	limit M
1000,0000	307602,75694006	inf	1000	limit M
